# de|en|plural|topic|example|example (English)
#A2
der Biologe|biologist|Biologen|n-Deklination|Sie hat einen Biologen interviewt.|She interviewed a biologist.
der Psychologe|psychologist|Psychologen|n-Deklination|Er spricht regelmäßig mit einem Psychologen.|He talks to a psychologist regularly.
der Soldat|soldier|Soldaten|n-Deklination|Der Film erzählt von einem jungen Soldaten.|The film tells the story of a young soldier.
der Experte|expert|Experten|n-Deklination|Wir sollten einen Experten fragen.|We should ask an expert.
der Zeuge|witness|Zeugen|n-Deklination|Die Polizei sucht Zeugen des Unfalls.|The police are looking for witnesses to the accident.
der Glaube|faith, belief||n-Deklination|Den Glauben an eine Lösung habe ich nicht verloren.|I haven't lost faith in a solution.
der Wille|will||n-Deklination|Gegen seinen Willen musste er umziehen.|He had to move against his will.
der Friede|peace||n-Deklination|Alle wünschen sich Frieden.|Everyone longs for peace.
die Mietwohnung|rented flat|Mietwohnungen|Wohnen|In Berlin gibt es zu wenige Mietwohnungen.|There are too few rented flats in Berlin.
der Nachmieter|next tenant|Nachmieter|Wohnen|Wir suchen einen Nachmieter für unsere Wohnung.|We are looking for someone to take over our flat.
die Warmmiete|rent incl. heating|Warmmieten|Wohnen|Die Warmmiete beträgt 950 Euro.|The rent including heating is 950 euros.
die Kaltmiete|rent excl. utilities|Kaltmieten|Wohnen|Die Kaltmiete ist gestiegen.|The basic rent has gone up.
die Hausverwaltung|property management|Hausverwaltungen|Wohnen|Melden Sie den Schaden der Hausverwaltung.|Report the damage to the property management.
der Schimmel|mould||Wohnen|Im Bad ist Schimmel an der Wand.|There is mould on the bathroom wall.
lüften|to air (a room)||Wohnen|Man sollte mehrmals täglich lüften.|You should air the room several times a day.
die Rundfunkgebühr|broadcasting fee|Rundfunkgebühren|Behörden|Jeder Haushalt zahlt die Rundfunkgebühr.|Every household pays the broadcasting fee.
die Steuer-ID|tax ID|Steuer-IDs|Behörden|Für den Arbeitsvertrag brauchen Sie Ihre Steuer-ID.|You need your tax ID for the employment contract.
die Krankenkasse|health insurance fund|Krankenkassen|Gesundheit|Bei welcher Krankenkasse sind Sie versichert?|Which health insurance fund are you insured with?
die Überweisung (Arzt)|referral||Gesundheit|Für den Facharzt brauchen Sie eine Überweisung.|You need a referral for the specialist.
der Facharzt|specialist doctor|Fachärzte|Gesundheit|Ich habe erst in sechs Wochen einen Termin beim Facharzt.|I only have a specialist appointment in six weeks.
die Notaufnahme|emergency room|Notaufnahmen|Gesundheit|Nachts ist nur die Notaufnahme offen.|At night only the emergency room is open.
die Zuzahlung|co-payment|Zuzahlungen|Gesundheit|Für das Medikament gibt es eine Zuzahlung von fünf Euro.|There is a five-euro co-payment for the medicine.
die Elternzeit|parental leave||Arbeit|Er nimmt sechs Monate Elternzeit.|He is taking six months of parental leave.
die Kündigungsfrist|notice period|Kündigungsfristen|Arbeit|Die Kündigungsfrist beträgt drei Monate.|The notice period is three months.
der Betriebsrat|works council|Betriebsräte|Arbeit|Der Betriebsrat vertritt die Beschäftigten.|The works council represents the employees.
die Gewerkschaft|trade union|Gewerkschaften|Arbeit|Die Gewerkschaft fordert höhere Löhne.|The union is demanding higher wages.
das Arbeitszeugnis|employer's reference|Arbeitszeugnisse|Arbeit|Ein gutes Arbeitszeugnis hilft bei der Bewerbung.|A good reference helps with applications.
die Weiterbildung|further training|Weiterbildungen|Arbeit|Die Firma bezahlt meine Weiterbildung.|The company pays for my further training.
der Arbeitgeber|employer|Arbeitgeber|Arbeit|Mein Arbeitgeber erlaubt Homeoffice.|My employer allows working from home.
der Arbeitnehmer|employee|Arbeitnehmer|Arbeit|Arbeitnehmer haben Anspruch auf Urlaub.|Employees are entitled to holiday.
der Anspruch|entitlement, claim|Ansprüche|Arbeit|Sie haben Anspruch auf 25 Urlaubstage.|You are entitled to 25 days' holiday.
die Nachricht hinterlassen|to leave a message||Kommunikation|Sie können eine Nachricht hinterlassen.|You can leave a message.
der Anrufbeantworter|answering machine|Anrufbeantworter|Kommunikation|Ich habe dir auf den Anrufbeantworter gesprochen.|I left you a message on the answering machine.
die Verabredung|date, arrangement|Verabredungen|Freizeit|Ich habe heute Abend eine Verabredung.|I have a date this evening.
die Ausstellung|exhibition|Ausstellungen|Freizeit|Die Ausstellung ist bis Juni geöffnet.|The exhibition is open until June.
die Eintrittskarte|ticket (admission)|Eintrittskarten|Freizeit|Die Eintrittskarten sind ausverkauft.|The tickets are sold out.
der Verein|club, association|Vereine|Freizeit|Er spielt Fußball in einem Verein.|He plays football in a club.
das Ehrenamt|voluntary role|Ehrenämter|Gesellschaft|Viele Deutsche engagieren sich im Ehrenamt.|Many Germans do voluntary work.
die Mülltonne|dustbin|Mülltonnen|Umwelt|Das Papier gehört in die blaue Mülltonne.|Paper goes into the blue bin.
der Biomüll|organic waste||Umwelt|Kaffeesatz kommt in den Biomüll.|Coffee grounds go into the organic waste.
der Wertstoff|recyclable material|Wertstoffe|Umwelt|Verpackungen sind Wertstoffe.|Packaging is recyclable material.
die Fahrgemeinschaft|car pool|Fahrgemeinschaften|Verkehr|Wir bilden eine Fahrgemeinschaft zur Arbeit.|We share a car to work.
der Stau|traffic jam|Staus|Verkehr|Auf der Autobahn gibt es einen langen Stau.|There is a long traffic jam on the motorway.
der Anschluss|connection (train)|Anschlüsse|Verkehr|Ich habe meinen Anschluss verpasst.|I missed my connection.
das Gleis|platform, track|Gleise|Verkehr|Der Zug fährt heute von Gleis 7.|The train leaves from platform 7 today.
die Durchsage|announcement|Durchsagen|Verkehr|Haben Sie die Durchsage verstanden?|Did you understand the announcement?
#B2
der Kollege|colleague|Kollegen|n-Deklination|Ich habe dem Kollegen die Unterlagen gegeben.|I gave the documents to the colleague.
der Bauer|farmer|Bauern|n-Deklination|Wir kaufen Eier direkt beim Bauern.|We buy eggs directly from the farmer.
der Mensch|human being|Menschen|n-Deklination|Man muss jeden Menschen respektieren.|One must respect every human being.
der Herr|gentleman|Herren|n-Deklination|Ich habe den Herrn nach dem Weg gefragt.|I asked the gentleman for directions.
der Fachkräftebedarf|demand for skilled workers||Wirtschaft|Der Fachkräftebedarf in der Pflege steigt.|The demand for skilled workers in care is rising.
die Tarifverhandlung|collective wage negotiation|Tarifverhandlungen|Arbeit|Die Tarifverhandlungen sind gescheitert.|The wage negotiations have failed.
der Mindestlohn|minimum wage|Mindestlöhne|Arbeit|Der Mindestlohn wurde erhöht.|The minimum wage was raised.
die Rente|pension|Renten|Gesellschaft|Mit 67 geht er in Rente.|He is retiring at 67.
die Altersvorsorge|retirement provision||Gesellschaft|Private Altersvorsorge wird immer wichtiger.|Private retirement provision is becoming ever more important.
die Anerkennung (Abschluss)|recognition (of a degree)||Bildung|Die Anerkennung meines Abschlusses dauerte vier Monate.|The recognition of my degree took four months.
die Einbürgerung|naturalisation|Einbürgerungen|Gesellschaft|Für die Einbürgerung braucht man B1-Kenntnisse.|For naturalisation you need B1 German.
der Wohnungsmarkt|housing market|Wohnungsmärkte|Wohnen|Der Wohnungsmarkt in München ist angespannt.|The housing market in Munich is tight.
die Mietpreisbremse|rent cap||Wohnen|Die Mietpreisbremse soll Mieter schützen.|The rent cap is meant to protect tenants.
die Datenschutzerklärung|privacy policy|Datenschutzerklärungen|Technik|Lesen Sie die Datenschutzerklärung aufmerksam.|Read the privacy policy carefully.
die Cybersicherheit|cyber security||Technik|Unternehmen investieren in Cybersicherheit.|Companies are investing in cyber security.
